transaction_id,timestamp,hour,day_of_week,is_weekend,amount,atm_location,card_type,pin_failures,transaction_success,velocity_1h,velocity_24h,distance_from_home_km,balance_after,account_age_days,is_fraud
8159,2024-10-14 11:26:42,11,0,0,470.3,Airport Terminal,Amex,0,1,3,2,33.91,10669.42,2904,0
9897,2024-10-09 03:59:15,3,2,0,1755.24,Remote Village,Amex,3,1,10,12,1359.49,462.48,107,1
2250,2024-03-25 19:06:46,19,0,0,117.8,Suburban Branch,Visa,0,1,1,7,20.09,15007.01,1988,0
4641,2024-02-26 01:56:30,1,0,0,303.16,Suburban Branch,Amex,0,1,3,3,16.33,45591.02,2241,0
9486,2024-01-29 16:34:24,16,0,0,335.36,Hospital,RuPay,0,1,3,1,18.62,48624.31,2034,0
4948,2024-06-15 00:58:07,0,5,1,413.19,University Campus,RuPay,0,1,1,8,36.73,12098.53,2570,0
9921,2024-01-15 10:28:14,10,0,0,291.03,Gas Station,Amex,1,1,4,7,3045.73,1187.56,69,1
1964,2024-07-06 10:26:46,10,5,1,409.84,Downtown Branch,Amex,0,1,3,2,17.81,34309.4,800,0
8244,2024-08-22 07:06:34,7,3,0,423.13,Airport Terminal,MasterCard,0,0,1,6,37.12,49032.9,114,0
6591,2024-07-06 20:58:31,20,5,1,309.78,Downtown Branch,RuPay,0,1,3,5,47.48,19736.66,757,0
8848,2024-05-19 10:51:11,10,6,1,452.06,Downtown Branch,Amex,1,1,3,6,33.44,15980.36,1567,0
322,2024-07-26 23:21:21,23,4,0,349.79,Remote Village,Visa,1,1,2,5,3.95,45148.58,2955,0
2679,2024-06-02 10:29:04,10,6,1,464.09,Gas Station,Amex,1,1,1,2,29.97,7742.53,2203,0
4626,2024-01-31 12:50:35,12,2,0,228.6,Downtown Branch,Visa,2,1,2,1,47.5,2002.28,3009,0
4950,2024-09-07 18:39:17,18,5,1,160.28,Train Station,Amex,0,1,2,5,6.06,44443.21,1750,0
8329,2024-06-10 10:04:24,10,0,0,94.54,Train Station,Amex,0,1,2,2,27.51,44743.42,1353,0
3338,2024-09-29 13:37:52,13,6,1,167.47,Suburban Branch,Visa,0,1,3,7,20.16,31249.64,2257,0
5590,2024-04-28 02:13:28,2,6,1,274.16,Shopping Mall,Amex,0,1,1,1,3.57,44799.35,1712,0
252,2024-08-27 18:14:14,18,1,0,102.81,Gas Station,Amex,0,1,3,2,33.61,15727.97,1007,0
3974,2024-03-22 21:18:57,21,4,0,240.96,Shopping Mall,MasterCard,0,1,3,2,21.11,34082.66,322,0
6631,2024-06-12 02:07:56,2,2,0,200.21,Gas Station,Visa,0,1,3,2,44.5,39406.55,2722,0
5548,2024-11-09 17:56:23,17,5,1,80.86,Hotel Lobby,Visa,0,1,1,3,6.74,29709.2,1490,0
36,2024-11-14 15:57:12,15,3,0,401.77,Downtown Branch,Amex,0,1,2,6,13.93,3564.1,3197,0
8363,2024-09-30 01:13:00,1,0,0,460.37,Remote Village,Visa,0,1,2,3,15.26,9782.28,3391,0
1514,2024-07-26 18:22:53,18,4,0,498.06,Suburban Branch,Visa,0,1,1,4,36.9,11001.68,426,0
9318,2024-11-07 16:48:19,16,3,0,234.39,Hotel Lobby,MasterCard,0,1,1,2,4.0,26670.19,459,0
40,2024-08-30 00:13:45,0,4,0,170.68,Gas Station,MasterCard,0,1,3,7,16.31,34890.7,2300,0
4820,2024-08-14 10:11:53,10,2,0,317.3,Shopping Mall,Amex,0,1,3,2,41.03,19494.3,2785,0
3466,2024-04-28 13:30:30,13,6,1,219.15,University Campus,Visa,1,1,1,3,40.01,4477.23,1042,0
1761,2024-11-23 17:09:48,17,5,1,242.63,Airport Terminal,MasterCard,0,1,2,2,37.38,2276.62,1515,0
2305,2024-08-27 23:20:24,23,1,0,234.28,Shopping Mall,RuPay,0,1,2,5,17.86,25667.67,1108,0
3724,2024-06-11 14:53:58,14,1,0,289.11,Downtown Branch,Visa,1,1,3,2,21.37,20079.1,2173,0
8285,2024-03-04 15:32:26,15,0,0,480.95,Downtown Branch,Visa,0,1,3,6,37.72,34187.02,395,0
4994,2024-02-08 06:30:59,6,3,0,36.83,Shopping Mall,RuPay,0,1,2,3,4.05,17098.57,385,0
8128,2024-07-19 20:06:12,20,4,0,238.87,Downtown Branch,Amex,1,0,2,7,17.86,7440.75,2144,0
3033,2024-08-29 23:15:29,23,3,0,440.13,Train Station,Amex,0,1,3,1,42.04,24695.09,612,0
7939,2024-11-05 05:20:00,5,1,0,387.07,Shopping Mall,Amex,0,1,3,3,41.28,15187.84,2250,0
3040,2024-07-18 09:06:01,9,3,0,164.92,Airport Terminal,Visa,0,1,2,5,39.96,18556.59,760,0
9656,2024-11-12 01:55:36,1,1,0,389.52,Gas Station,MasterCard,0,0,8,19,2165.95,832.6,127,1
2546,2024-02-10 11:12:37,11,5,1,106.55,Suburban Branch,Amex,0,1,1,2,31.11,39947.52,1274,0
2593,2024-08-12 07:47:14,7,0,0,433.75,Suburban Branch,Visa,0,1,3,6,30.44,43968.98,1994,0
1189,2024-09-04 07:03:18,7,2,0,129.4,Remote Village,RuPay,1,1,3,1,12.97,36084.85,3083,0
7967,2024-05-17 17:33:19,17,4,0,360.28,Suburban Branch,MasterCard,0,1,3,3,33.6,27423.64,2177,0
6078,2024-05-22 17:32:17,17,2,0,276.94,Hotel Lobby,RuPay,0,1,3,4,25.31,27973.12,3546,0
108,2024-04-17 16:23:19,16,2,0,432.03,Shopping Mall,Amex,0,1,1,2,33.05,1386.43,90,0
1316,2024-05-29 21:30:26,21,2,0,292.35,Remote Village,RuPay,0,1,3,7,28.75,40061.76,647,0
8188,2024-08-21 13:36:04,13,2,0,395.71,Suburban Branch,Amex,0,1,1,3,35.3,6760.71,1454,0
2754,2024-07-28 16:39:27,16,6,1,409.33,Train Station,Amex,0,1,3,8,10.15,39899.29,342,0
9754,2024-01-15 02:40:29,2,0,0,1304.13,Airport Terminal,Amex,2,0,6,23,970.56,1535.65,36,1
6232,2024-01-15 17:36:46,17,0,0,350.64,Shopping Mall,MasterCard,0,1,2,5,34.07,35954.34,526,0
2877,2024-08-21 15:43:53,15,2,0,418.68,Remote Village,Amex,2,1,2,2,28.22,32210.59,628,0
5324,2024-06-25 18:20:34,18,1,0,105.68,Remote Village,MasterCard,0,1,3,8,2.84,44531.36,1040,0
800,2024-06-25 13:46:21,13,1,0,47.58,Shopping Mall,RuPay,0,1,2,7,7.85,5626.12,2227,0
3571,2024-04-04 02:49:27,2,3,0,379.98,Remote Village,Visa,1,1,1,2,25.94,24605.12,2897,0
2895,2024-05-08 02:51:19,2,2,0,421.5,Hotel Lobby,Visa,0,1,1,3,6.66,39679.85,2293,0
2928,2024-04-06 10:37:31,10,5,1,342.17,Hotel Lobby,Amex,1,1,2,6,2.55,48479.31,899,0
8179,2024-08-16 02:48:41,2,4,0,148.63,Hotel Lobby,Amex,0,1,3,6,18.81,7124.06,3334,0
972,2024-07-26 22:27:00,22,4,0,423.42,Hospital,Visa,0,1,3,1,13.75,46755.3,2599,0
6688,2024-04-16 05:15:24,5,1,0,377.58,Suburban Branch,Visa,0,1,3,2,6.18,43196.8,3459,0
8576,2024-08-09 15:54:04,15,4,0,487.33,Hospital,MasterCard,0,1,3,1,27.02,42193.27,2081,0
2021,2024-04-23 05:41:04,5,1,0,317.46,Airport Terminal,MasterCard,0,1,1,1,20.18,36875.15,3159,0
9055,2024-06-11 06:53:17,6,1,0,188.73,Airport Terminal,Visa,0,1,1,5,10.24,16648.04,1943,0
953,2024-10-21 14:49:02,14,0,0,348.16,Shopping Mall,RuPay,0,1,1,5,20.25,14987.01,2947,0
5360,2024-08-18 16:11:35,16,6,1,260.74,Shopping Mall,Amex,1,0,3,3,17.82,31343.15,46,0
3858,2024-08-18 20:18:50,20,6,1,213.6,Train Station,MasterCard,0,1,3,6,31.64,25261.94,3550,0
5862,2024-05-14 20:43:10,20,1,0,474.71,Train Station,RuPay,0,1,1,6,31.66,35882.4,2397,0
3146,2024-07-19 00:28:44,0,4,0,150.65,Downtown Branch,MasterCard,1,1,3,4,14.41,7555.74,642,0
3306,2024-03-14 10:52:55,10,3,0,194.29,Shopping Mall,RuPay,0,1,2,8,13.11,22518.8,1185,0
3007,2024-06-21 02:05:19,2,4,0,75.07,Gas Station,Amex,0,1,3,4,31.21,47108.78,2854,0
9002,2024-09-24 19:15:17,19,1,0,185.17,Hotel Lobby,RuPay,0,1,1,3,5.77,25919.63,145,0
7771,2024-08-08 10:30:16,10,3,0,346.36,Gas Station,MasterCard,1,0,1,3,37.88,49644.83,2286,0
7439,2024-09-16 19:28:20,19,0,0,76.19,Downtown Branch,Amex,0,1,3,5,16.77,22817.12,79,0
7943,2024-03-30 10:56:17,10,5,1,307.04,Hotel Lobby,Amex,1,1,2,3,10.37,43984.41,3063,0
9239,2024-07-10 12:35:03,12,2,0,221.55,Remote Village,RuPay,0,1,2,3,44.68,25229.51,2255,0
1057,2024-02-14 08:46:52,8,2,0,30.22,Gas Station,RuPay,0,1,2,5,41.36,4316.22,1173,0
3155,2024-08-02 23:21:13,23,4,0,32.12,University Campus,RuPay,0,1,2,4,27.7,26410.64,2122,0
3788,2024-09-14 23:45:44,23,5,1,459.38,Shopping Mall,Visa,0,1,2,3,6.94,20774.47,996,0
9190,2024-10-31 04:05:42,4,3,0,138.86,Hotel Lobby,Visa,0,1,3,2,19.3,45407.49,240,0
7826,2024-02-25 11:09:48,11,6,1,244.52,Remote Village,RuPay,0,1,1,8,17.22,40750.84,806,0
7540,2024-12-29 18:32:54,18,6,1,483.4,Train Station,MasterCard,0,1,1,7,44.03,32764.33,2365,0
7232,2024-04-08 03:19:02,3,0,0,126.62,Shopping Mall,MasterCard,0,1,1,5,29.24,30265.3,3041,0
765,2024-03-17 11:01:29,11,6,1,98.95,Airport Terminal,Amex,0,1,2,1,29.63,31352.23,1399,0
5020,2024-01-17 15:53:13,15,2,0,340.94,Gas Station,RuPay,0,1,1,1,35.46,12156.47,1175,0
4904,2024-09-09 18:20:44,18,0,0,388.33,University Campus,Amex,0,0,1,4,5.77,23201.0,1342,0
8094,2024-05-10 23:15:06,23,4,0,478.84,University Campus,RuPay,0,1,3,7,6.92,48477.64,2829,0
6844,2024-08-30 20:07:37,20,4,0,475.56,Shopping Mall,Visa,0,1,2,4,42.3,43444.84,1112,0
2166,2024-01-11 09:38:43,9,3,0,497.06,Airport Terminal,MasterCard,0,1,3,8,9.49,18456.43,2517,0
1863,2024-07-11 18:53:36,18,3,0,212.44,Remote Village,RuPay,0,1,2,2,20.99,10145.18,1453,0
7851,2024-09-08 22:27:59,22,6,1,27.3,Airport Terminal,Visa,1,0,2,3,14.9,18966.53,2140,0
9124,2024-09-07 22:56:58,22,5,1,110.02,Suburban Branch,Amex,0,1,3,4,34.28,30516.91,1345,0
2341,2024-07-26 10:57:57,10,4,0,167.24,Airport Terminal,MasterCard,0,1,3,3,18.18,25899.46,508,0
5528,2024-03-15 04:54:59,4,4,0,237.27,Suburban Branch,RuPay,0,1,3,4,45.6,27275.8,2150,0
6744,2024-07-09 16:46:35,16,1,0,232.41,Hospital,Amex,0,1,3,7,12.64,7714.02,2951,0
4004,2024-03-07 04:12:23,4,3,0,193.42,Suburban Branch,RuPay,0,1,1,5,19.82,6814.11,1846,0
1124,2024-07-25 02:20:50,2,3,0,57.54,University Campus,RuPay,0,1,3,5,35.57,42009.82,2325,0
8710,2024-10-06 00:45:47,0,6,1,138.87,Hospital,RuPay,0,1,2,1,3.34,48584.63,1420,0
4050,2024-11-01 12:41:57,12,4,0,350.47,Shopping Mall,Amex,0,1,2,2,14.56,19843.32,3308,0
7641,2024-09-24 09:39:20,9,1,0,461.86,Hotel Lobby,Amex,0,1,3,5,1.22,19939.85,3649,0
766,2024-04-05 23:38:17,23,4,0,71.76,Hotel Lobby,RuPay,0,1,2,4,47.18,38809.9,2567,0
2345,2024-04-17 11:17:27,11,2,0,337.7,Hotel Lobby,Amex,0,1,2,4,17.81,41758.48,407,0
4072,2024-06-08 15:52:56,15,5,1,373.86,Hotel Lobby,RuPay,0,1,2,2,16.12,1561.88,2054,0
7217,2024-02-23 05:00:42,5,4,0,306.94,Suburban Branch,Amex,0,1,2,6,15.39,48563.95,1206,0
4217,2024-10-08 03:41:24,3,1,0,124.44,Downtown Branch,MasterCard,0,1,3,3,41.32,6880.56,618,0
7953,2024-06-16 16:48:32,16,6,1,301.19,Train Station,RuPay,0,1,1,7,12.28,18814.4,762,0
5971,2024-05-25 03:58:15,3,5,1,376.37,University Campus,MasterCard,0,1,3,1,13.05,16887.8,1241,0
3351,2024-10-28 18:46:58,18,0,0,420.42,Hospital,Amex,0,1,2,1,13.71,32570.6,981,0
4696,2024-05-02 08:26:09,8,3,0,79.81,Remote Village,MasterCard,0,1,3,7,1.37,26198.24,1478,0
3400,2024-05-02 16:59:16,16,3,0,391.98,Hospital,Amex,0,1,3,6,33.4,31096.57,2960,0
4082,2024-05-03 12:20:41,12,4,0,79.16,Hospital,Amex,0,1,2,7,7.58,28669.78,3617,0
9150,2024-03-09 03:35:21,3,5,1,212.93,Downtown Branch,RuPay,0,1,2,7,29.49,28065.76,1869,0
1225,2024-10-18 03:32:53,3,4,0,497.77,University Campus,Visa,0,0,3,6,23.9,25485.89,1901,0
6293,2024-05-19 21:28:41,21,6,1,274.37,Downtown Branch,MasterCard,2,1,3,4,25.08,3425.68,912,0
3123,2024-01-17 01:23:47,1,2,0,339.55,University Campus,Amex,1,1,3,2,46.78,23612.11,1517,0
511,2024-07-21 04:48:04,4,6,1,72.47,Downtown Branch,Visa,0,1,1,7,49.19,2058.66,1616,0
5795,2024-02-21 01:36:07,1,2,0,314.4,Remote Village,Amex,0,1,1,4,10.34,23285.92,1066,0
8182,2024-04-01 05:01:51,5,0,0,61.38,Shopping Mall,RuPay,0,1,2,7,38.82,35185.29,44,0
9418,2024-06-02 18:30:35,18,6,1,291.66,Gas Station,Amex,0,1,1,4,4.7,40195.14,742,0
97,2024-08-31 23:41:48,23,5,1,66.64,Downtown Branch,Amex,0,1,2,1,28.98,36644.75,399,0
6682,2024-09-23 20:53:00,20,0,0,490.38,Shopping Mall,MasterCard,0,1,3,7,14.96,48421.32,937,0
1513,2024-03-29 09:10:39,9,4,0,226.8,Airport Terminal,RuPay,0,1,1,4,20.54,2289.45,1943,0
8792,2024-12-24 05:14:39,5,1,0,347.62,Suburban Branch,Amex,2,1,1,4,41.06,33135.95,192,0
120,2024-01-28 00:34:59,0,6,1,88.1,Downtown Branch,Amex,0,1,3,4,18.81,22736.92,674,0
7792,2024-11-29 00:42:14,0,4,0,130.59,Hotel Lobby,Amex,1,1,3,8,34.55,9234.61,2371,0
6518,2024-12-25 13:24:51,13,2,0,452.03,Suburban Branch,Visa,0,1,2,3,33.77,8725.83,3113,0
34,2024-11-06 15:29:14,15,2,0,409.17,Downtown Branch,MasterCard,1,1,2,7,40.11,43216.8,3350,0
7888,2024-06-10 08:25:54,8,0,0,272.36,Hotel Lobby,Amex,0,1,1,7,10.89,46774.27,1300,0
6831,2024-08-15 09:19:36,9,3,0,47.54,University Campus,RuPay,0,1,1,7,37.75,29284.84,670,0
5422,2024-09-01 21:11:23,21,6,1,143.2,Airport Terminal,MasterCard,0,1,1,8,46.01,41764.01,3565,0
1069,2024-01-28 17:25:57,17,6,1,328.11,Shopping Mall,Amex,1,1,3,6,16.75,20466.06,2700,0
1348,2024-05-23 12:37:08,12,3,0,291.36,Downtown Branch,Amex,0,1,2,4,10.47,16377.41,986,0
4748,2024-08-23 03:26:07,3,4,0,381.39,University Campus,Amex,1,1,1,2,22.67,26479.53,3167,0
6006,2024-04-07 07:19:25,7,6,1,94.0,Hospital,MasterCard,0,1,1,8,43.41,15270.06,2011,0
6040,2024-12-21 04:30:53,4,5,1,45.65,Hospital,Visa,2,1,1,5,17.25,4262.26,1803,0
3818,2024-11-19 07:41:43,7,1,0,340.88,Airport Terminal,MasterCard,0,1,1,5,38.4,18475.79,1763,0
8447,2024-06-30 08:11:00,8,6,1,337.92,Shopping Mall,Amex,0,1,1,8,36.89,28370.76,217,0
5270,2024-10-18 04:38:29,4,4,0,100.07,University Campus,Visa,0,1,2,7,49.29,2559.96,2369,0
6898,2024-11-20 18:44:43,18,2,0,146.14,Train Station,Amex,0,1,1,8,13.0,12663.68,1927,0
5310,2024-08-08 00:45:24,0,3,0,245.65,Remote Village,Visa,0,1,1,3,18.85,20630.3,2557,0
32,2024-08-05 20:01:51,20,0,0,24.64,Shopping Mall,Visa,0,1,2,3,21.49,2187.26,1523,0
5675,2024-03-22 05:13:45,5,4,0,233.09,Hotel Lobby,RuPay,0,1,2,1,33.1,44456.76,232,0
4387,2024-01-24 01:47:14,1,2,0,422.78,Airport Terminal,RuPay,0,1,2,7,35.57,13462.83,184,0
30,2024-04-15 18:28:09,18,0,0,155.24,Hotel Lobby,Visa,0,1,3,5,25.27,12630.95,3495,0
4203,2024-08-03 07:06:51,7,5,1,93.72,Downtown Branch,Amex,2,1,3,8,24.23,34239.84,2906,0
7508,2024-09-02 17:13:38,17,0,0,464.95,Remote Village,MasterCard,0,1,1,4,26.03,7744.09,2491,0
736,2024-08-10 01:14:01,1,5,1,159.0,Airport Terminal,MasterCard,0,1,2,5,14.7,1496.09,615,0
2068,2024-01-06 17:17:52,17,5,1,101.46,Gas Station,Visa,0,1,1,4,43.82,48204.04,694,0
107,2024-01-27 15:29:34,15,5,1,418.31,Remote Village,Visa,0,1,1,6,38.72,39453.32,2471,0
9645,2024-11-10 01:12:24,1,6,1,395.89,Hotel Lobby,RuPay,2,0,12,9,4178.87,1999.63,134,1
8895,2024-03-07 14:28:04,14,3,0,127.17,Shopping Mall,MasterCard,0,1,1,4,14.0,16554.89,95,0
8021,2024-10-17 21:01:17,21,3,0,166.33,University Campus,Visa,1,1,1,2,11.66,26411.83,3453,0
2233,2024-01-12 20:07:31,20,4,0,234.87,Shopping Mall,Amex,0,1,2,1,6.55,17730.64,287,0
994,2024-09-04 08:22:20,8,2,0,234.45,Suburban Branch,RuPay,0,1,2,8,48.82,16163.38,3023,0
9413,2024-02-11 19:24:12,19,6,1,392.11,Shopping Mall,Amex,0,1,3,7,29.87,40867.32,2521,0
7059,2024-12-18 04:35:37,4,2,0,27.76,Downtown Branch,Visa,0,1,3,5,9.81,4635.79,726,0
6790,2024-05-01 22:59:18,22,2,0,237.75,University Campus,MasterCard,0,1,1,2,37.54,46755.79,3612,0
361,2024-03-12 00:27:59,0,1,0,74.64,Train Station,MasterCard,0,1,2,8,39.99,32477.44,3294,0
305,2024-09-30 04:39:21,4,0,0,356.27,Remote Village,Visa,1,1,1,8,27.11,8860.28,185,0
2628,2024-05-26 01:28:22,1,6,1,35.47,Train Station,Amex,0,1,1,2,12.67,36688.29,2079,0
8966,2024-02-09 10:38:26,10,4,0,383.63,Gas Station,MasterCard,0,1,1,4,44.4,47866.7,52,0
4514,2024-06-01 22:37:40,22,5,1,347.01,Hotel Lobby,RuPay,0,1,3,2,13.44,12555.67,1532,0
5911,2024-01-27 10:45:43,10,5,1,128.38,Train Station,Visa,1,1,2,5,26.86,32242.07,3342,0
8314,2024-06-05 21:51:17,21,2,0,424.37,Remote Village,Visa,0,1,2,4,21.78,29015.9,2520,0
3101,2024-10-27 10:00:12,10,6,1,389.02,University Campus,Visa,1,1,3,6,30.7,31542.04,1174,0
5704,2024-09-14 08:16:00,8,5,1,266.49,Hotel Lobby,Visa,0,1,2,3,30.12,18097.63,3463,0
3899,2024-05-16 19:42:33,19,3,0,111.82,Hotel Lobby,MasterCard,0,1,1,4,7.17,47238.4,2978,0
5441,2024-06-08 01:08:24,1,5,1,436.88,Airport Terminal,Amex,2,1,2,8,17.15,32544.72,315,0
7931,2024-09-18 21:55:49,21,2,0,68.2,Shopping Mall,RuPay,0,1,1,3,8.88,11452.22,1257,0
622,2024-02-24 04:51:54,4,5,1,421.05,Shopping Mall,RuPay,0,1,2,6,3.31,48008.76,3127,0
7236,2024-04-21 09:22:14,9,6,1,272.01,Downtown Branch,RuPay,1,1,1,6,41.16,33118.57,67,0
2499,2024-06-07 11:31:41,11,4,0,310.27,Suburban Branch,MasterCard,0,1,1,1,0.68,47616.06,2647,0
714,2024-03-31 03:21:28,3,6,1,263.67,Hotel Lobby,RuPay,0,1,3,8,6.56,14740.36,2943,0
8404,2024-07-04 07:48:39,7,3,0,426.0,Downtown Branch,RuPay,0,1,2,8,1.82,38903.08,1106,0
2856,2024-12-28 21:49:27,21,5,1,440.92,Hospital,Amex,0,1,1,8,0.78,46939.71,2744,0
4270,2024-12-23 22:48:55,22,0,0,189.44,Airport Terminal,MasterCard,0,1,2,4,39.71,41425.89,2379,0
2909,2024-03-23 00:56:01,0,5,1,270.02,Suburban Branch,RuPay,0,1,3,6,44.13,7362.14,1527,0
8081,2024-04-15 16:50:27,16,0,0,238.16,Airport Terminal,Amex,0,1,3,2,42.87,1113.98,1695,0
4517,2024-12-12 11:31:12,11,3,0,380.21,Hospital,RuPay,0,1,2,2,7.14,33019.71,1855,0
1262,2024-10-25 11:58:30,11,4,0,400.95,Suburban Branch,RuPay,0,1,3,7,37.67,39070.31,734,0
3161,2024-12-27 17:01:54,17,4,0,166.83,Gas Station,RuPay,0,1,1,4,3.46,39805.26,3512,0
971,2024-01-10 19:43:07,19,2,0,376.32,Train Station,MasterCard,0,1,2,3,11.99,44905.67,1246,0
3913,2024-08-13 04:08:47,4,1,0,405.66,Hospital,Amex,0,1,1,7,42.3,11860.46,1586,0
5199,2024-08-18 04:03:38,4,6,1,309.4,Train Station,Visa,0,1,1,3,41.31,6281.25,2855,0
8847,2024-10-10 15:56:03,15,3,0,53.56,Gas Station,Amex,0,1,3,5,10.51,35217.45,2064,0
260,2024-08-27 06:56:43,6,1,0,86.83,University Campus,Amex,0,1,3,6,26.61,29883.2,719,0
3791,2024-06-12 07:17:43,7,2,0,82.37,Downtown Branch,MasterCard,0,1,2,5,13.37,11238.17,1524,0
9203,2024-02-08 14:29:15,14,3,0,154.32,Hospital,MasterCard,0,1,3,5,12.21,36908.76,2904,0
488,2024-12-24 00:27:54,0,1,0,390.03,Hospital,RuPay,0,1,1,4,37.38,42488.96,76,0
7908,2024-06-12 04:27:05,4,2,0,360.74,Downtown Branch,RuPay,0,1,3,8,4.87,47607.96,2369,0
519,2024-06-08 06:53:16,6,5,1,232.1,Downtown Branch,MasterCard,0,1,3,5,30.99,27921.68,3410,0
8343,2024-08-10 12:57:48,12,5,1,421.95,Remote Village,Visa,0,1,3,2,24.15,4090.13,3308,0
312,2024-11-15 02:26:35,2,4,0,360.3,Hotel Lobby,Visa,0,1,2,4,12.48,3482.96,1081,0
3232,2024-01-06 18:48:44,18,5,1,415.79,Suburban Branch,Visa,0,1,3,2,44.24,42280.81,3049,0
7933,2024-03-22 14:30:58,14,4,0,204.6,Hospital,RuPay,0,1,3,1,39.67,1866.4,2614,0
7458,2024-09-03 16:46:06,16,1,0,102.93,Shopping Mall,RuPay,0,1,2,8,43.9,34894.52,1010,0
9784,2024-09-19 06:31:14,6,3,0,275.85,Train Station,Amex,2,1,7,24,236.6,1178.58,167,1
5184,2024-02-10 09:16:51,9,5,1,316.86,Airport Terminal,RuPay,0,1,1,4,1.32,38825.3,3548,0
8077,2024-12-04 03:05:20,3,2,0,351.73,Hotel Lobby,Visa,0,1,2,2,43.73,35414.37,2717,0
6502,2024-03-29 14:51:00,14,4,0,413.34,Train Station,Amex,2,1,2,1,29.08,13734.93,1294,0
6791,2024-12-08 02:09:03,2,6,1,481.21,Hotel Lobby,Visa,0,1,2,2,15.5,13165.49,124,0
7773,2024-04-27 15:24:13,15,5,1,282.71,Downtown Branch,MasterCard,0,1,2,4,15.0,13789.41,3361,0
2738,2024-11-13 12:50:58,12,2,0,298.27,Train Station,RuPay,1,1,1,2,5.38,24257.43,2389,0
7842,2024-09-26 18:27:03,18,3,0,157.65,Hospital,MasterCard,0,1,3,1,31.93,5739.97,670,0
6262,2024-11-15 20:18:11,20,4,0,330.41,Gas Station,MasterCard,0,0,3,7,35.51,3450.75,1808,0
8206,2024-03-27 11:35:48,11,2,0,410.34,Remote Village,RuPay,2,1,3,2,34.72,34748.37,202,0
1248,2024-01-01 03:17:45,3,0,0,55.94,Gas Station,RuPay,0,1,3,2,2.96,20577.74,618,0
9336,2024-09-25 22:38:55,22,2,0,65.61,Gas Station,MasterCard,0,1,2,5,4.1,16892.28,3494,0
4195,2024-09-05 19:52:25,19,3,0,135.19,Hotel Lobby,Visa,0,1,2,3,33.2,39152.71,2736,0
8001,2024-06-24 02:11:11,2,0,0,231.93,Hospital,Visa,0,1,1,4,9.43,18896.15,3224,0
7378,2024-03-09 23:50:21,23,5,1,64.82,Hotel Lobby,MasterCard,0,1,2,4,7.03,34836.84,1226,0
3435,2024-09-19 23:32:18,23,3,0,208.81,Suburban Branch,MasterCard,0,1,2,2,27.01,6329.51,3172,0
5382,2024-09-06 05:23:06,5,4,0,298.05,Hotel Lobby,MasterCard,0,1,1,8,29.91,17383.11,3603,0
959,2024-09-27 11:20:52,11,4,0,282.12,Hospital,Amex,0,1,1,4,48.59,28884.14,88,0
417,2024-12-07 04:17:49,4,5,1,365.38,Gas Station,MasterCard,0,1,1,8,30.33,23623.53,2002,0
5742,2024-10-20 11:50:24,11,6,1,475.0,Shopping Mall,Visa,0,1,2,4,2.65,3096.28,3568,0
